Date,Close,Open,High,Low,% เปลี่ยน
"Nov 29, 2018","1,223.99","1,221.42","1,229.35","1,220.49",0.24%
"Nov 28, 2018","1,221.11","1,214.64","1,226.32","1,210.73",0.53%
"Nov 27, 2018","1,214.69","1,222.65","1,225.60","1,211.74",-0.63%
"Nov 26, 2018","1,222.37","1,224.00","1,228.13","1,221.14",-0.17%
"Nov 25, 2018","1,224.42","1,223.49","1,224.46","1,223.41",0.10%
"Nov 23, 2018","1,223.19","1,227.33","1,229.27","1,220.53",-0.35%
"Nov 22, 2018","1,227.45","1,226.69","1,229.80","1,225.30",0.12%
"Nov 21, 2018","1,226.02","1,221.55","1,230.15","1,219.23",0.37%
"Nov 20, 2018","1,221.55","1,224.37","1,229.17","1,219.67",-0.20%
"Nov 19, 2018","1,224.05","1,221.76","1,225.26","1,217.52",0.12%
"Nov 18, 2018","1,222.62","1,222.49","1,222.84","1,221.69",0.09%
"Nov 16, 2018","1,221.47","1,213.02","1,225.37","1,212.48",0.70%
"Nov 15, 2018","1,213.00","1,210.87","1,216.36","1,207.56",0.17%
"Nov 14, 2018","1,210.91","1,202.26","1,216.33","1,197.12",0.71%
"Nov 13, 2018","1,202.35","1,200.96","1,205.57","1,196.29",0.14%
"Nov 12, 2018","1,200.65","1,209.46","1,211.45","1,200.18",-0.84%
"Nov 11, 2018","1,210.81","1,208.41","1,210.82","1,208.41",0.10%
"Nov 09, 2018","1,209.60","1,223.88","1,223.97","1,206.52",-1.14%
"Nov 08, 2018","1,223.54","1,225.99","1,227.05","1,219.63",-0.21%
"Nov 07, 2018","1,226.11","1,227.24","1,236.23","1,223.31",-0.06%
"Nov 06, 2018","1,226.80","1,231.66","1,236.31","1,223.41",-0.37%
"Nov 05, 2018","1,231.30","1,233.36","1,235.46","1,226.88",-0.23%
"Nov 04, 2018","1,234.17","1,233.19","1,234.26","1,232.70",0.10%
"Nov 02, 2018","1,232.89","1,234.04","1,236.79","1,229.85",-0.03%
"Nov 01, 2018","1,233.23","1,215.20","1,237.83","1,214.84",1.54%
"Oct 31, 2018","1,214.54","1,223.00","1,223.70","1,211.92",-0.73%
"Oct 30, 2018","1,223.44","1,230.17","1,231.45","1,220.22",-0.51%
"Oct 29, 2018","1,229.74","1,234.15","1,235.79","1,224.45",-0.25%
"Oct 28, 2018","1,232.88","1,234.53","1,234.90","1,232.87",-0.06%
"Oct 26, 2018","1,233.59","1,232.24","1,243.73","1,229.80",0.11%
"Oct 25, 2018","1,232.23","1,234.59","1,239.85","1,228.08",-0.16%
"Oct 24, 2018","1,234.22","1,231.06","1,234.27","1,225.74",0.30%
"Oct 23, 2018","1,230.48","1,222.32","1,240.00","1,221.71",0.68%
"Oct 22, 2018","1,222.17","1,228.61","1,230.18","1,220.30",-0.42%
"Oct 21, 2018","1,227.35","1,227.38","1,228.26","1,226.67",0.08%
"Oct 19, 2018","1,226.32","1,225.65","1,231.08","1,223.04",0.05%
"Oct 18, 2018","1,225.75","1,222.35","1,230.85","1,218.78",0.25%
"Oct 17, 2018","1,222.68","1,224.08","1,229.90","1,220.32",-0.14%
"Oct 16, 2018","1,224.43","1,227.12","1,232.77","1,223.35",-0.20%
"Oct 15, 2018","1,226.93","1,217.45","1,233.65","1,217.40",0.62%
"Oct 14, 2018","1,219.33","1,217.35","1,220.35","1,216.98",0.11%
"Oct 12, 2018","1,217.93","1,224.17","1,224.45","1,215.61",-0.52%
"Oct 11, 2018","1,224.33","1,195.01","1,226.87","1,191.30",2.47%
"Oct 10, 2018","1,194.78","1,189.59","1,195.19","1,185.22",0.43%
"Oct 09, 2018","1,189.62","1,189.01","1,192.23","1,183.49",0.14%
"Oct 08, 2018","1,188.01","1,203.14","1,204.48","1,183.58",-1.32%
"Oct 07, 2018","1,203.85","1,203.31","1,204.12","1,202.93",0.08%
"Oct 05, 2018","1,202.86","1,199.41","1,206.18","1,197.01",0.27%
"Oct 04, 2018","1,199.66","1,197.35","1,207.11","1,195.76",0.19%
"Oct 03, 2018","1,197.37","1,203.39","1,208.77","1,196.71",-0.48%
"Oct 02, 2018","1,203.10","1,189.20","1,208.65","1,188.57",1.23%
"Oct 01, 2018","1,188.46","1,192.55","1,192.95","1,184.94",-0.21%
"Sep 30, 2018","1,190.99","1,192.51","1,192.53","1,190.81",-0.09%
"Sep 28, 2018","1,192.09","1,183.21","1,194.00","1,180.74",0.79%
"Sep 27, 2018","1,182.80","1,194.80","1,198.94","1,181.98",-0.98%
"Sep 26, 2018","1,194.46","1,201.23","1,202.84","1,190.53",-0.57%
"Sep 25, 2018","1,201.31","1,198.84","1,203.71","1,197.21",0.20%
"Sep 24, 2018","1,198.86","1,198.56","1,204.48","1,194.23",0.07%
"Sep 23, 2018","1,198.05","1,199.19","1,199.38","1,197.16",-0.13%
"Sep 21, 2018","1,199.55","1,207.52","1,211.47","1,191.96",-0.66%
"Sep 20, 2018","1,207.58","1,204.16","1,209.14","1,201.47",0.30%
"Sep 19, 2018","1,203.98","1,197.84","1,206.53","1,197.81",0.47%
"Sep 18, 2018","1,198.35","1,202.14","1,204.28","1,196.21",-0.21%
"Sep 17, 2018","1,200.93","1,193.18","1,205.20","1,192.97",0.62%
"Sep 16, 2018","1,193.48","1,194.38","1,194.86","1,193.15",-0.02%
"Sep 14, 2018","1,193.71","1,201.76","1,208.98","1,193.13",-0.64%
"Sep 13, 2018","1,201.44","1,207.30","1,213.39","1,200.37",-0.39%
"Sep 12, 2018","1,206.19","1,198.93","1,209.22","1,192.90",0.66%
"Sep 11, 2018","1,198.29","1,195.73","1,200.12","1,187.95",0.20%
"Sep 10, 2018","1,195.88","1,195.12","1,198.92","1,191.52",-0.03%
"Sep 09, 2018","1,196.22","1,195.21","1,196.70","1,195.05",0.03%
"Sep 07, 2018","1,195.86","1,200.03","1,204.04","1,193.29",-0.36%
"Sep 06, 2018","1,200.14","1,197.19","1,207.36","1,195.59",0.28%
"Sep 05, 2018","1,196.75","1,191.18","1,198.82","1,191.10",0.45%
"Sep 04, 2018","1,191.35","1,201.29","1,202.31","1,189.55",-0.82%
"Sep 03, 2018","1,201.15","1,200.59","1,204.59","1,196.11",0.16%
"Sep 02, 2018","1,199.20","1,201.09","1,201.09","1,198.85",-0.16%
"Aug 31, 2018","1,201.09","1,200.34","1,209.17","1,198.43",0.10%
"Aug 30, 2018","1,199.88","1,206.32","1,208.18","1,196.32",-0.56%
"Aug 29, 2018","1,206.66","1,201.28","1,207.73","1,200.90",0.45%
"Aug 28, 2018","1,201.26","1,211.44","1,214.67","1,199.40",-0.83%
"Aug 27, 2018","1,211.35","1,206.92","1,212.74","1,202.84",0.29%
"Aug 26, 2018","1,207.84","1,207.44","1,208.02","1,206.20",0.16%
"Aug 24, 2018","1,205.96","1,185.32","1,208.87","1,183.32",1.74%
"Aug 23, 2018","1,185.31","1,195.83","1,197.00","1,183.67",-0.85%
"Aug 22, 2018","1,195.51","1,196.68","1,201.90","1,192.44",-0.05%
"Aug 21, 2018","1,196.12","1,190.59","1,197.38","1,187.51",0.47%
"Aug 20, 2018","1,190.53","1,183.71","1,191.21","1,182.63",0.58%
"Aug 19, 2018","1,183.66","1,183.53","1,184.05","1,182.88",-0.09%
"Aug 17, 2018","1,184.77","1,173.72","1,185.42","1,172.03",0.90%
"Aug 16, 2018","1,174.16","1,175.73","1,182.59","1,160.56",-0.06%
"Aug 15, 2018","1,174.88","1,194.50","1,195.22","1,173.33",-1.60%
"Aug 14, 2018","1,194.03","1,194.17","1,199.04","1,192.14",0.03%
"Aug 13, 2018","1,193.64","1,211.26","1,214.23","1,191.75",-1.55%
"Aug 12, 2018","1,212.38","1,210.95","1,213.92","1,210.95",0.09%
"Aug 10, 2018","1,211.30","1,212.56","1,217.48","1,205.85",-0.09%
"Aug 09, 2018","1,212.35","1,213.89","1,217.65","1,210.72",-0.10%
"Aug 08, 2018","1,213.61","1,210.70","1,216.27","1,206.29",0.21%
"Aug 07, 2018","1,211.02","1,207.67","1,216.54","1,207.67",0.34%
"Aug 06, 2018","1,206.94","1,214.10","1,218.69","1,206.93",-0.66%
"Aug 05, 2018","1,214.93","1,213.88","1,215.19","1,213.51",0.12%
"Aug 03, 2018","1,213.43","1,208.01","1,220.41","1,204.40",0.45%
"Aug 02, 2018","1,207.96","1,215.25","1,221.42","1,207.20",-0.67%
"Aug 01, 2018","1,216.06","1,224.00","1,225.37","1,215.77",-0.63%
"Jul 31, 2018","1,223.83","1,221.73","1,228.74","1,214.82",0.17%
"Jul 30, 2018","1,221.80","1,223.06","1,225.59","1,219.06",-0.06%
"Jul 29, 2018","1,222.58","1,222.49","1,223.90","1,222.15",-0.07%
"Jul 27, 2018","1,223.38","1,222.88","1,227.64","1,217.34",0.06%
"Jul 26, 2018","1,222.67","1,231.31","1,235.57","1,222.17",-0.73%
"Jul 25, 2018","1,231.61","1,224.31","1,234.64","1,223.10",0.58%
"Jul 24, 2018","1,224.55","1,225.06","1,229.83","1,218.25",0.00%
"Jul 23, 2018","1,224.54","1,231.28","1,235.49","1,222.08",-0.68%
"Jul 22, 2018","1,232.95","1,231.67","1,233.38","1,230.34",0.10%
"Jul 20, 2018","1,231.77","1,223.48","1,232.68","1,215.84",0.73%
"Jul 19, 2018","1,222.80","1,227.42","1,229.27","1,211.48",-0.36%
"Jul 18, 2018","1,227.18","1,227.73","1,229.92","1,221.56",-0.03%
"Jul 17, 2018","1,227.52","1,240.83","1,245.35","1,225.97",-1.07%
"Jul 16, 2018","1,240.82","1,241.76","1,246.29","1,238.49",-0.03%
"Jul 15, 2018","1,241.24","1,240.95","1,242.24","1,240.84",-0.02%
"Jul 13, 2018","1,241.52","1,247.51","1,248.54","1,237.10",-0.45%
"Jul 12, 2018","1,247.14","1,242.06","1,248.94","1,241.38",0.40%
"Jul 11, 2018","1,242.16","1,255.81","1,257.27","1,241.29",-1.07%
"Jul 10, 2018","1,255.65","1,257.69","1,260.70","1,247.23",-0.17%
"Jul 09, 2018","1,257.77","1,255.12","1,266.27","1,255.12",0.10%
"Jul 08, 2018","1,256.48","1,255.71","1,256.62","1,254.94",0.12%
"Jul 06, 2018","1,254.98","1,257.97","1,259.53","1,252.93",-0.22%
"Jul 05, 2018","1,257.76","1,256.90","1,260.17","1,251.08",0.06%
"Jul 04, 2018","1,256.95","1,252.42","1,261.85","1,252.16",0.32%
"Jul 03, 2018","1,252.93","1,242.21","1,257.41","1,237.81",0.88%
"Jul 02, 2018","1,241.97","1,253.50","1,254.61","1,239.59",-0.92%
"Jul 01, 2018","1,253.47","1,252.16","1,254.26","1,251.59",0.04%
"Jun 29, 2018","1,253.00","1,247.74","1,256.38","1,246.51",0.38%
"Jun 28, 2018","1,248.28","1,251.91","1,254.65","1,245.71",-0.30%
"Jun 27, 2018","1,252.02","1,258.21","1,260.52","1,250.70",-0.55%
"Jun 26, 2018","1,258.98","1,265.72","1,268.03","1,254.51",-0.55%
"Jun 25, 2018","1,266.00","1,272.66","1,273.54","1,264.80",-0.40%
"Jun 24, 2018","1,271.06","1,270.20","1,272.12","1,269.51",0.14%
"Jun 22, 2018","1,269.28","1,267.70","1,271.79","1,266.90",0.16%
"Jun 21, 2018","1,267.20","1,268.58","1,270.49","1,261.22",-0.07%
"Jun 20, 2018","1,268.10","1,274.75","1,276.64","1,267.80",-0.52%
"Jun 19, 2018","1,274.77","1,278.40","1,284.46","1,270.39",-0.28%
"Jun 18, 2018","1,278.31","1,279.16","1,282.02","1,277.08",-0.21%
"Jun 17, 2018","1,281.03","1,277.60","1,281.33","1,277.60",0.09%
"Jun 15, 2018","1,279.84","1,302.15","1,303.92","1,275.85",-1.72%
"Jun 14, 2018","1,302.22","1,299.85","1,309.69","1,297.34",0.19%
"Jun 13, 2018","1,299.71","1,295.47","1,301.53","1,292.55",0.29%
"Jun 12, 2018","1,295.97","1,300.09","1,300.88","1,293.00",-0.32%
"Jun 11, 2018","1,300.14","1,299.17","1,302.57","1,294.13",0.07%
"Jun 10, 2018","1,299.24","1,299.95","1,299.95","1,298.37",0.04%
"Jun 08, 2018","1,298.75","1,297.32","1,301.27","1,294.20",0.13%
"Jun 07, 2018","1,297.12","1,296.41","1,303.48","1,295.08",0.01%
"Jun 06, 2018","1,297.00","1,297.15","1,302.85","1,294.63",0.07%
"Jun 05, 2018","1,296.13","1,292.34","1,300.94","1,289.79",0.32%
"Jun 04, 2018","1,291.98","1,293.16","1,298.47","1,290.27",-0.06%
"Jun 03, 2018","1,292.80","1,292.73","1,294.62","1,292.58",-0.03%
"Jun 01, 2018","1,293.14","1,298.98","1,300.72","1,289.53",-0.40%
"May 31, 2018","1,298.32","1,301.51","1,306.86","1,297.90",-0.24%
"May 30, 2018","1,301.48","1,299.02","1,304.70","1,295.75",0.20%
"May 29, 2018","1,298.86","1,298.68","1,307.14","1,294.30",0.06%
"May 28, 2018","1,298.11","1,298.74","1,300.47","1,295.62",-0.06%
"May 27, 2018","1,298.88","1,300.34","1,300.34","1,296.59",-0.21%
"May 25, 2018","1,301.61","1,304.44","1,308.24","1,300.05",-0.25%
"May 24, 2018","1,304.88","1,294.06","1,306.97","1,292.91",0.86%
"May 23, 2018","1,293.75","1,291.50","1,298.59","1,288.61",0.19%
"May 22, 2018","1,291.32","1,292.85","1,296.44","1,287.80",-0.11%
"May 21, 2018","1,292.68","1,290.90","1,293.53","1,282.15",0.01%
"May 18, 2018","1,292.50","1,291.35","1,295.26","1,286.81",0.12%
"May 17, 2018","1,291.00","1,291.13","1,295.29","1,286.41",0.00%
"May 16, 2018","1,291.03","1,290.33","1,297.67","1,287.01",0.03%
"May 15, 2018","1,290.64","1,313.09","1,315.24","1,288.71",-1.69%
"May 14, 2018","1,312.82","1,318.56","1,322.76","1,312.82",-0.41%
"May 11, 2018","1,318.22","1,321.57","1,326.49","1,317.94",-0.24%
"May 10, 2018","1,321.39","1,312.12","1,323.14","1,310.89",0.66%
"May 09, 2018","1,312.78","1,314.46","1,317.78","1,304.48",-0.13%
"May 08, 2018","1,314.47","1,313.57","1,318.08","1,306.20",0.01%
"May 07, 2018","1,314.30","1,315.03","1,319.22","1,310.29",-0.06%
"May 04, 2018","1,315.05","1,312.30","1,315.61","1,308.41",0.23%
"May 03, 2018","1,312.09","1,305.18","1,318.91","1,305.02",0.55%
"May 02, 2018","1,304.85","1,304.38","1,313.80","1,303.94",0.07%
"May 01, 2018","1,303.97","1,315.58","1,316.69","1,301.88",-0.87%
"Apr 30, 2018","1,315.36","1,322.81","1,325.34","1,310.52",-0.56%
"Apr 27, 2018","1,322.80","1,317.57","1,326.11","1,316.27",0.42%
"Apr 26, 2018","1,317.28","1,322.39","1,326.96","1,315.45",-0.46%
"Apr 25, 2018","1,323.33","1,330.12","1,332.40","1,318.90",-0.55%
"Apr 24, 2018","1,330.68","1,324.71","1,333.04","1,322.60",0.43%
"Apr 23, 2018","1,325.00","1,335.81","1,336.38","1,322.81",-0.76%
"Apr 20, 2018","1,335.12","1,346.06","1,346.56","1,335.07",-0.78%
"Apr 19, 2018","1,345.60","1,349.33","1,355.12","1,341.23",-0.28%
"Apr 18, 2018","1,349.32","1,347.50","1,356.14","1,342.10",0.15%
"Apr 17, 2018","1,347.29","1,345.65","1,349.80","1,337.73",0.10%
"Apr 16, 2018","1,345.91","1,344.58","1,350.89","1,340.17",0.03%
"Apr 13, 2018","1,345.46","1,335.20","1,347.50","1,335.20",0.75%
"Apr 12, 2018","1,335.48","1,352.70","1,353.60","1,333.96",-1.32%
"Apr 11, 2018","1,353.29","1,339.94","1,365.61","1,339.68",0.99%
"Apr 10, 2018","1,340.05","1,336.87","1,343.55","1,331.81",0.29%
"Apr 09, 2018","1,336.24","1,333.14","1,338.36","1,326.98",0.23%
"Apr 06, 2018","1,333.19","1,326.38","1,335.59","1,321.46",0.50%
"Apr 05, 2018","1,326.55","1,333.02","1,335.29","1,322.80",-0.51%
"Apr 04, 2018","1,333.35","1,332.82","1,348.45","1,331.59",0.04%
"Apr 03, 2018","1,332.83","1,340.69","1,342.87","1,329.18",-0.64%
"Apr 02, 2018","1,341.35","1,326.20","1,345.26","1,324.90",1.23%
"Mar 29, 2018","1,325.00","1,325.41","1,329.32","1,322.21",0.00%
"Mar 28, 2018","1,324.99","1,345.74","1,347.39","1,323.59",-1.47%
"Mar 27, 2018","1,344.71","1,353.51","1,357.06","1,340.16",-0.65%
"Mar 26, 2018","1,353.46","1,347.91","1,356.37","1,343.55",0.46%
"Mar 23, 2018","1,347.22","1,329.17","1,350.66","1,329.17",1.37%
"Mar 22, 2018","1,328.95","1,332.15","1,335.23","1,324.88",-0.24%
"Mar 21, 2018","1,332.17","1,311.28","1,336.96","1,309.98",1.60%
"Mar 20, 2018","1,311.21","1,317.00","1,318.66","1,307.31",-0.44%
"Mar 19, 2018","1,316.94","1,313.94","1,320.07","1,307.89",0.22%
"Mar 16, 2018","1,314.00","1,317.11","1,322.67","1,310.31",-0.17%
"Mar 15, 2018","1,316.26","1,324.38","1,328.15","1,315.05",-0.66%
"Mar 14, 2018","1,325.00","1,326.42","1,330.42","1,321.91",-0.10%
"Mar 13, 2018","1,326.39","1,322.81","1,328.66","1,316.79",0.25%
"Mar 12, 2018","1,323.05","1,323.69","1,324.67","1,315.39",-0.05%
"Mar 09, 2018","1,323.70","1,322.33","1,325.15","1,313.06",0.10%
"Mar 08, 2018","1,322.35","1,325.84","1,329.39","1,319.19",-0.24%
"Mar 07, 2018","1,325.54","1,334.50","1,340.47","1,321.95",-0.67%
"Mar 06, 2018","1,334.46","1,320.36","1,338.89","1,319.91",1.09%
"Mar 05, 2018","1,320.02","1,323.75","1,327.92","1,317.27",-0.16%
"Mar 02, 2018","1,322.20","1,316.52","1,325.52","1,314.93",0.43%
"Mar 01, 2018","1,316.55","1,318.53","1,321.30","1,302.99",-0.11%
"Feb 28, 2018","1,318.05","1,318.53","1,322.82","1,315.80",-0.01%
"Feb 27, 2018","1,318.20","1,333.13","1,336.73","1,313.33",-1.12%
"Feb 26, 2018","1,333.16","1,327.56","1,340.91","1,326.42",0.32%
"Feb 23, 2018","1,328.94","1,331.80","1,332.23","1,325.58",-0.19%
"Feb 22, 2018","1,331.51","1,323.93","1,332.20","1,320.69",0.55%
"Feb 21, 2018","1,324.26","1,329.82","1,336.58","1,322.60",-0.39%
"Feb 20, 2018","1,329.49","1,346.74","1,348.21","1,328.22",-1.28%
"Feb 19, 2018","1,346.69","1,347.51","1,351.35","1,345.99",-0.09%
"Feb 16, 2018","1,347.86","1,353.29","1,361.84","1,344.78",-0.40%
"Feb 15, 2018","1,353.30","1,350.78","1,357.18","1,348.41",0.19%
"Feb 14, 2018","1,350.76","1,329.53","1,355.57","1,319.42",1.60%
"Feb 13, 2018","1,329.55","1,322.29","1,330.96","1,321.39",0.50%
"Feb 12, 2018","1,322.88","1,315.04","1,326.19","1,314.11",0.47%
"Feb 09, 2018","1,316.69","1,318.87","1,322.71","1,311.06",-0.17%
"Feb 08, 2018","1,318.97","1,318.61","1,322.17","1,306.90",0.04%
"Feb 07, 2018","1,318.49","1,325.15","1,332.49","1,312.05",-0.49%
"Feb 06, 2018","1,325.02","1,339.68","1,346.08","1,320.04",-1.09%
"Feb 05, 2018","1,339.60","1,332.32","1,341.70","1,328.88",0.50%
"Feb 02, 2018","1,332.98","1,349.16","1,350.12","1,327.21",-1.20%
"Feb 01, 2018","1,349.19","1,345.40","1,351.42","1,337.30",0.30%
"Jan 31, 2018","1,345.10","1,338.87","1,347.93","1,332.70",0.49%
"Jan 30, 2018","1,338.55","1,340.67","1,349.12","1,334.48",-0.13%
"Jan 29, 2018","1,340.35","1,350.07","1,352.65","1,337.74",-0.73%
"Jan 26, 2018","1,350.14","1,348.36","1,357.39","1,344.38",0.16%
"Jan 25, 2018","1,348.05","1,358.48","1,366.47","1,343.10",-0.74%
"Jan 24, 2018","1,358.15","1,341.44","1,361.88","1,339.27",1.25%
"Jan 23, 2018","1,341.39","1,334.45","1,342.22","1,331.54",0.55%
"Jan 22, 2018","1,334.11","1,334.88","1,336.04","1,328.71",0.17%
"Jan 19, 2018","1,331.80","1,327.49","1,338.37","1,326.46",0.35%
"Jan 18, 2018","1,327.19","1,327.75","1,333.14","1,323.79",-0.04%
"Jan 17, 2018","1,327.73","1,338.29","1,343.99","1,326.73",-0.81%
"Jan 16, 2018","1,338.61","1,340.06","1,342.35","1,331.73",-0.11%
"Jan 15, 2018","1,340.15","1,337.06","1,344.93","1,336.14",0.13%
"Jan 12, 2018","1,338.40","1,322.82","1,339.40","1,321.16",1.21%
"Jan 11, 2018","1,322.42","1,316.89","1,323.98","1,315.49",0.40%
"Jan 10, 2018","1,317.19","1,313.28","1,326.94","1,308.29",0.35%
"Jan 09, 2018","1,312.66","1,320.63","1,320.68","1,308.80",-0.60%
"Jan 08, 2018","1,320.58","1,320.04","1,322.22","1,314.97",0.03%
"Jan 05, 2018","1,320.21","1,323.50","1,323.83","1,313.81",-0.21%
"Jan 04, 2018","1,322.96","1,312.53","1,325.92","1,305.67",0.77%
"Jan 03, 2018","1,312.84","1,318.16","1,321.40","1,307.16",-0.40%
"Jan 02, 2018","1,318.14","1,302.55","1,318.97","1,302.51",0.86%
"Jan 01, 2018","1,306.86","1,303.43","1,307.72","1,302.43",0.33%
